"HID","median_probs","mean_probs","cilow","cihigh","cisize","standarddev"
75,0,0.004,0,0,0,0.0631505185092568
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0.01,0,0,0,0.0995485304256668
82,0,0.058,0,1,1,0.233860408557521
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
159,0,0,0,0,0,0
160,0,0,0,0,0,0
161,0,0.002,0,0,0,0.0446989708829856
162,0,0.008,0,0,0,0.0891288053546324
238,0,0.001,0,0,0,0.0316227766016838
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,0,0,0,0,0,0
243,0,0.004,0,0,0,0.0631505185092568
255,0,0,0,0,0,0
320,0,0.002,0,0,0,0.0446989708829856
321,0,0,0,0,0,0
322,0,0,0,0,0,0
323,0,0,0,0,0,0
324,0,0,0,0,0,0
325,0,0.005,0,0,0,0.0705689732104696
335,0,0,0,0,0,0
336,0,0,0,0,0,0
401,0,0.001,0,0,0,0.0316227766016838
402,0,0,0,0,0,0
403,0,0,0,0,0,0
404,0,0,0,0,0,0
405,0,0,0,0,0,0
406,0,0.04,0,1,1,0.196057232558349
410,0,0,0,0,0,0
412,0,0,0,0,0,0
416,0,0,0,0,0,0
417,0,0,0,0,0,0
418,0,0,0,0,0,0
421,0,0,0,0,0,0
483,0,0.001,0,0,0,0.0316227766016838
484,0,0,0,0,0,0
485,0,0,0,0,0,0
486,0,0.001,0,0,0,0.0316227766016838
487,0,0.013,0,0,0,0.113330683593826
493,0,0,0,0,0,0
494,0,0,0,0,0,0
498,0,0,0,0,0,0
499,0,0,0,0,0,0
502,0,0,0,0,0,0
503,0,0,0,0,0,0
564,0,0.006,0,0,0,0.0772655807586403
565,0,0,0,0,0,0
566,0,0,0,0,0,0
567,0,0,0,0,0,0
568,0,0.001,0,0,0,0.0316227766016838
573,0,0,0,0,0,0
574,0,0,0,0,0,0
575,0,0,0,0,0,0
578,0,0,0,0,0,0
579,0,0,0,0,0,0
580,0,0,0,0,0,0
582,0,0,0,0,0,0
583,0,0,0,0,0,0
645,0,0.004,0,0,0,0.0631505185092568
646,0,0,0,0,0,0
647,0,0,0,0,0,0
648,0,0,0,0,0,0
649,0,0.014,0,0,0,0.117549214450024
654,0,0,0,0,0,0
655,0,0,0,0,0,0
656,0,0,0,0,0,0
657,0,0,0,0,0,0
660,0,0,0,0,0,0
661,0,0,0,0,0,0
663,0,0,0,0,0,0
664,0,0,0,0,0,0
665,0,0,0,0,0,0
666,0,0,0,0,0,0
727,0,0.003,0,0,0,0.054717401199198
728,0,0.002,0,0,0,0.0446989708829856
729,0,0.001,0,0,0,0.0316227766016838
730,0,0.004,0,0,0,0.0631505185092568
736,0,0,0,0,0,0
737,0,0,0,0,0,0
738,0,0,0,0,0,0
741,0,0,0,0,0,0
742,0,0,0,0,0,0
745,0,0,0,0,0,0
746,0,0,0,0,0,0
747,0,0,0,0,0,0
748,0,0,0,0,0,0
809,0,0.006,0,0,0,0.0772655807586403
810,0,0.003,0,0,0,0.054717401199198
811,0,0.009,0,0,0,0.0944877131056093
816,0,0,0,0,0,0
817,0,0,0,0,0,0
818,0,0,0,0,0,0
819,0,0,0,0,0,0
822,0,0,0,0,0,0
823,0,0,0,0,0,0
825,0,0,0,0,0,0
826,0,0,0,0,0,0
827,0,0,0,0,0,0
828,0,0,0,0,0,0
829,0,0,0,0,0,0
889,0,0.103,0,1,1,0.304110972316823
